category,product name,location,price,overall rating,number sold,total review,customer review,sentiment,region,salary
computers and laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,bandung,127880,4.9,1257,700,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,1,jawa barat,2191232.0
computers and laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,bandung,127880,4.9,1257,700,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",1,jawa barat,2191232.0
computers and laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",jakarta utara,80000,4.8,3982,1890,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,1,dki jakarta,5396760.0
computers and laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",jakarta utara,80000,4.8,3982,1890,barang udah sampai ya gan dan berfungsi. terima kasih,1,dki jakarta,5396760.0
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,depok,55000,4.8,13900,6671,barang mantap sesuai deskripsi laptop jadi adem n sejuk,1,jawa barat,2191232.0
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,depok,55000,4.8,13900,6671,"produk saya terima dengan kondisi baik, terima kasih ^^",1,jawa barat,2191232.0
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,depok,55000,4.8,13900,6671,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",1,jawa barat,2191232.0
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,depok,55000,4.8,13900,6671,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",1,jawa barat,2191232.0
computers and laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,jakarta barat,74900,4.7,3713,2153,mantab barang nya oke punya,1,dki jakarta,5396760.0
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,jakarta barat,112000,4.9,5988,2969,"pengiriman cepat, packing rapi, kualitas mantap",1,dki jakarta,5396760.0
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,jakarta barat,112000,4.9,5988,2969,silent dan bagus untuk pekerjaan ringan,1,dki jakarta,5396760.0
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,jakarta barat,112000,4.9,5988,2969,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,1,dki jakarta,5396760.0
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,jakarta barat,112000,4.9,5988,2969,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",1,dki jakarta,5396760.0
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",surabaya,385000,5.0,2716,1843,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",1,jawa timur,2305984.0
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",surabaya,385000,5.0,2716,1843,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,1,jawa timur,2305984.0
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",surabaya,385000,5.0,2716,1843,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,1,jawa timur,2305984.0
computers and laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",surabaya,385000,5.0,2716,1843,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",1,jawa timur,2305984.0
computers and laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,jakarta utara,15000,4.9,690,338,Sangat presisi dan pas,1,dki jakarta,5396760.0
computers and laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,jakarta utara,15000,4.9,690,338,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",1,dki jakarta,5396760.0
computers and laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,jakarta utara,15000,4.9,690,338,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",1,dki jakarta,5396760.0
computers and laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",jakarta barat,365000,5.0,2554,1396,Mantap barangnya cepet sampai dan enak digunainnya!,1,dki jakarta,5396760.0
computers and laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",jakarta barat,365000,5.0,2554,1396,"Barang bagus,oke, cepat pengirimannya juga",1,dki jakarta,5396760.0
computers and laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",jakarta barat,365000,5.0,2554,1396,"Pengiriman cepat, seller responsif ??",1,dki jakarta,5396760.0
computers and laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,jakarta utara,53500,4.9,5449,2369,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,1,dki jakarta,5396760.0
computers and laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,jakarta utara,53500,4.9,5449,2369,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",1,dki jakarta,5396760.0
computers and laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,jakarta timur,119000,4.9,9777,5546,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,0,dki jakarta,5396760.0
computers and laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,jakarta barat,113777,4.9,1630,777,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",0,dki jakarta,5396760.0
computers and laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,jakarta pusat,25000,4.9,2122,828,gak bisa di pakai??,0,dki jakarta,5396760.0
computers and laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,jakarta barat,112000,4.9,5988,2969,Kecewa parah nggk berkah jualan gitu,0,dki jakarta,5396760.0
computers and laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",bandung,90000,4.9,5182,2423,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,0,jawa barat,2191232.0
computers and laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",bandung,90000,4.9,5182,2423,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",0,jawa barat,2191232.0
computers and laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,bandung,99000,4.9,1848,952,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,0,jawa barat,2191232.0
computers and laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,jakarta utara,50000,4.8,2967,1191,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",0,dki jakarta,5396760.0
computers and laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,jakarta utara,50000,4.8,2967,1191,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",0,dki jakarta,5396760.0
computers and laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,jakarta pusat,279000,5.0,3111,1456,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",0,dki jakarta,5396760.0
computers and laptops,SanDisk Extreme SDHC UHS-I Card 32GB,jakarta pusat,119000,5.0,2215,1010,Data sering error dan hilang ??,0,dki jakarta,5396760.0
computers and laptops,Logitech MK275 Wireless Keyboard Mouse Combo,jakarta timur,200000,4.9,3225,1528,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",0,dki jakarta,5396760.0
computers and laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,jakarta barat,188000,4.9,3451,1651,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",0,dki jakarta,5396760.0
computers and laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,jakarta barat,188000,4.9,3451,1651,Mic dari awal ga nyala,0,dki jakarta,5396760.0
computers and laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,jakarta pusat,75900,4.9,6754,3507,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",0,dki jakarta,5396760.0
computers and laptops,SSD 128GB RX7 GARANSI RESMI 3THN,tangerang,210000,5.0,15400,3486,Kecepatan tdk sesuai dgn deskripsi,0,banten,2905119.0
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,jakarta utara,90000,4.8,4563,1811,tidak berfugsi,0,dki jakarta,5396760.0
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,jakarta utara,90000,4.8,4563,1811,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",0,dki jakarta,5396760.0
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,jakarta utara,90000,4.8,4563,1811,infra red nya jelek suka mental ke mana2,0,dki jakarta,5396760.0
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,jakarta utara,90000,4.8,4563,1811,Batre tidak sesuai ukuran dan tidak ada nano receiver.,0,dki jakarta,5396760.0
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,jakarta utara,90000,4.8,4563,1811,boros batre,0,dki jakarta,5396760.0
computers and laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,jakarta utara,150000,4.9,5384,634,barang error 1,0,dki jakarta,5396760.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",0,banten,2905119.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,tdk sesuai ekspektasi,0,banten,2905119.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,lambat,0,banten,2905119.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,0,banten,2905119.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",0,banten,2905119.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,Tidak sesuai,0,banten,2905119.0
computers and laptops,SSD 256GB RX7 SATA,tangerang,370000,5.0,6449,2425,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",0,banten,2905119.0
computers and laptops,SSD 256GB RX7 SATA,tangerang,370000,5.0,6449,2425,"beli 2 SSD, 1 diterima dalam kondisi rusak",0,banten,2905119.0
computers and laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",jakarta barat,112000,4.9,14900,7957,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",0,dki jakarta,5396760.0
computers and laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",jakarta barat,112000,4.9,14900,7957,kurang bagus... colok hardisk external tdk terdeteksi..,0,dki jakarta,5396760.0
computers and laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,jakarta utara,56000,4.8,18300,5431,"Produk kurang baik, dan rusak",0,dki jakarta,5396760.0
computers and laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",jakarta timur,1199000,4.9,10900,4760,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",0,dki jakarta,5396760.0
computers and laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",jakarta timur,1199000,4.9,10900,4760,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",0,dki jakarta,5396760.0
computers and laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,jakarta barat,50000,4.9,1790,848,mousenya kurang responsif. jd harus teken agak kuat,0,dki jakarta,5396760.0
computers and laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,jakarta barat,50000,4.9,1790,848,baru pake 2 bulan sensornya udah jelek suka kemana2,0,dki jakarta,5396760.0
computers and laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,jakarta timur,299000,4.9,9798,5559,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,0,dki jakarta,5396760.0
computers and laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,jakarta timur,299000,4.9,9798,5559,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",0,dki jakarta,5396760.0
computers and laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,jakarta pusat,230000,4.9,1408,721,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",0,dki jakarta,5396760.0
computers and laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,jakarta utara,66000,4.8,2702,882,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",0,dki jakarta,5396760.0
computers and laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,jakarta pusat,55000,4.9,2010,970,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",0,dki jakarta,5396760.0
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,depok,55000,4.8,13900,6671,"Barang Rusak , Ga Guna Sama Sekali ... Parah",0,jawa barat,2191232.0
computers and laptops,Logitech MK275 Wireless Keyboard Mouse Combo,jakarta timur,200000,4.9,3225,1528,"cepet rusak, kadang konek kadang engga",0,dki jakarta,5396760.0
computers and laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,jakarta pusat,379000,4.9,3185,1829,"barang gajelas lama sampai, kotak penyok�",0,dki jakarta,5396760.0
computers and laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,jakarta pusat,75900,4.9,6754,3507,"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.",0,dki jakarta,5396760.0
computers and laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,jakarta pusat,75900,4.9,6754,3507,Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA,0,dki jakarta,5396760.0
computers and laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,jakarta selatan,85000,4.9,7834,4099,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,0,dki jakarta,5396760.0
computers and laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,jakarta selatan,85000,4.9,7834,4099,"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA",0,dki jakarta,5396760.0
computers and laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,jakarta selatan,85000,4.9,7834,4099,BARANG KW JANGAN BELI DISINI,0,dki jakarta,5396760.0
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,jakarta utara,90000,4.8,4563,1811,buruk,0,dki jakarta,5396760.0
computers and laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,jakarta pusat,82500,4.9,35900,6630,barang bosok! sekali Pake rusak.. mau claim dijawab berbelit ama adminnya,0,dki jakarta,5396760.0
computers and laptops,Telkomsel Orbit Star 2,tangerang,629000,4.8,5998,3441,"Chat tidak di balas, Kuota yang di janjikan 50gb nya tidak masuk, hancur la Parah parah",0,banten,2905119.0
computers and laptops,Xiaomi Mi Wifi Wireless Extender Pro Repeater Amplifier R03 Original,jakarta barat,129000,4.9,13300,5723,GA DIKASIH ADAPTOR GEPENG NYA. KETIPU SAYA,0,dki jakarta,5396760.0
computers and laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",jakarta barat,112000,4.9,14900,7957,jir sehari pake udah rusak :( quality control dong yg bener ahelah,0,dki jakarta,5396760.0
computers and laptops,SSD 256GB RX7 SATA,tangerang,370000,5.0,6449,2425,"Ini gmn, ssd nya gak bisa di pake.... Sy minta ganti...",0,banten,2905119.0
computers and laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",jakarta timur,1199000,4.9,10900,4760,"beli mahal2, malah sering tiba2 ngeblur kalau dipakai zoom. terus menghubungi CS nya, suruh klaim garansi aja, minta alamat ga dikasih2. hadeuhh, webcam 1 jutaan kualitas sampah.",0,dki jakarta,5396760.0
computers and laptops,Vention High Speed USB 3.0 Hub for Windows Mac Linux - CHK 0.15 Meter,jakarta barat,119500,4.9,10200,5373,tidak sesuai gambar.... Janggan percaya ama Seller ini penipu..... kualitas jelek.....,0,dki jakarta,5396760.0
computers and laptops,Laptop Stand Holder Lipat Adjustable Anti Slip Portable Untuk Laptop,tangerang,69900,4.3,5108,2852,"tolong pengiriman punya rasa tanggung jawab, ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah",0,banten,2905119.0
computers and laptops,Rexus GX2 Gladius Pro Gaming Gamepad - Joystick / Stick - Hitam,jakarta barat,149000,4.9,2022,1193,l2 r2 trigger nya ampas macam ***,0,dki jakarta,5396760.0
computers and laptops,"Samsung MicroSD Evo Plus 32GB 64GB 128GB 256GB 512GB 1TB Memory card - 64 gb, MicroSD Only",jakarta pusat,121000,4.9,9298,5206,jelek,0,dki jakarta,5396760.0
computers and laptops,"SPC Monitor Komputer LED 19 inch HD, Garansi Resmi",jakarta barat,1509000,4.9,2487,943,"Barang SAMPAH ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di TONG SAMPAH. Sangat MENGECEWAKAN, admin TIDAK MERESPON SAMA SEKALI CHAT SAYA. lihat barang yg dikirimkan, ada dead pixel, LALU LAYAR MONITORNYA KEBALIK. SANGAT MENGECEWAKAN. catatan buat teman-teman yg ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. Jika ada rejeki lebih, belilah dengan merek yg bagus. SAYA SANGAT MENYESAL BELANJA DI SINI. SAYA TIDAK MEREKOMENDASIKAN BELANJA DISINI.",0,dki jakarta,5396760.0
computers and laptops,Prolink PRT7011L Portable 4G LTE Modem WiFi Mifi Hotspot - Plus PTC21801,jakarta utara,1040000,4.9,444,251,"TidAk jujur dan kelihatan kalau memaksakan barang terjual. Barang dikirim tidak sesuai pesanan. Dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak, dengan resiko barang yg di foto/ ditawarkan memang sebenarnya mungkin tidak ada.",0,dki jakarta,5396760.0
computers and laptops,Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI - Hitam,jakarta timur,699000,5.0,8059,4581,"Beli tgl 9. Pesanan Selesai tgl 12 dan....mouse rusak tgl 13 gak bisa komplain dari toped lagi. admin ditanyain gmna cara klaim garansi SANGAT TIDAK MEMBANTU, chat hari ini bales besok.da dibales gk di jawab2 lagi",0,dki jakarta,5396760.0
computers and laptops,Digital Aliance Keyboard Gaming Meca Warrior X RGB - Hitam,jakarta pusat,499000,4.9,2200,1358,"GUA BELI DAPETNYA V2, DI DESC GADA PENJELASAN MENGENAI VERSI, BAGUSAN V1 APALAGI RGBNYA RGB V2 BENER BENER CUMA RED GREEN BLUE SISA WARNANYA GAGUNA SWITCH PULLER GADAPET RGB REDUP PULA NGGA ADA PEMBERITAHUAN MENGENAI VERSI KEYBOARDNYA BENER2 KECEWA KAPOK BELI DA Ambil ae v*rt*x v7 tuh bagus drpd ini kecewa mau gua jual lagi pokoknya",0,dki jakarta,5396760.0
computers and laptops,Mouse Gaming/ Gaming Mouse Terlaris HP M160 - USB 1000DPI RGB 3 Button - Putih,jakarta pusat,140000,4.9,4074,2249,"Belanja dari Official Store, kondisi barang diterima seperti sampah dan barang rongsokan. Terima kasih.",0,dki jakarta,5396760.0
computers and laptops,Rexus Mouse Wireless Gaming Avenger 110 - Perak,jakarta pusat,89000,4.8,2281,1289,Ngaco banget pesen mouse tapi gak lengkap. Gak ada penutup batre sama bluetoothnya,0,dki jakarta,5396760.0
