category,product name,location,price,overall rating,number sold,total review,customer rating,customer review,sentiment,emotion
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Kota Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,0,sadness
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Kota Jakarta Utara,90000,4.8,4563,1811,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,0,sadness
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Kota Jakarta Utara,90000,4.8,4563,1811,1,boros batre,0,sadness
computers and laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Kota Jakarta Utara,150000,4.9,5384,634,1,barang error 1,0,sadness
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",0,sadness
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,0,sadness
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,0,sadness
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,0,sadness
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",0,sadness
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Tidak sesuai,0,sadness
computers and laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",0,sadness
computers and laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"beli 2 SSD, 1 diterima dalam kondisi rusak",0,sadness
computers and laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Kota Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",0,sadness
computers and laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Kota Jakarta Barat,112000,4.9,14900,7957,1,kurang bagus... colok hardisk external tdk terdeteksi..,0,sadness
computers and laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,Kota Jakarta Utara,56000,4.8,18300,5431,1,"Produk kurang baik, dan rusak",0,sadness
computers and laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Kota Jakarta Timur,1199000,4.9,10900,4760,1,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",0,sadness
computers and laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Kota Jakarta Timur,1199000,4.9,10900,4760,1,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",0,sadness
computers and laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Kota Jakarta Barat,50000,4.9,1790,848,1,mousenya kurang responsif. jd harus teken agak kuat,0,sadness
computers and laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Kota Jakarta Barat,50000,4.9,1790,848,1,baru pake 2 bulan sensornya udah jelek suka kemana2,0,sadness
computers and laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Kota Jakarta Timur,299000,4.9,9798,5559,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,0,sadness
computers and laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Kota Jakarta Timur,299000,4.9,9798,5559,1,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",0,sadness
computers and laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Kota Jakarta Pusat,230000,4.9,1408,721,1,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",0,anger
computers and laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Kota Jakarta Utara,66000,4.8,2702,882,1,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",0,anger
computers and laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Kota Jakarta Pusat,55000,4.9,2010,970,1,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",0,anger
computers and laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,1,"Barang Rusak , Ga Guna Sama Sekali ... Parah",0,anger
computers and laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Kota Jakarta Timur,200000,4.9,3225,1528,3,"cepet rusak, kadang konek kadang engga",0,anger
computers and laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,Kota Jakarta Pusat,379000,4.9,3185,1829,3,"barang gajelas lama sampai, kotak penyok�",0,anger
computers and laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Kota Jakarta Pusat,75900,4.9,6754,3507,1,"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.",0,anger
computers and laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Kota Jakarta Pusat,75900,4.9,6754,3507,1,Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA,0,anger
computers and laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Kota Jakarta Selatan,85000,4.9,7834,4099,1,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,0,anger
computers and laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Kota Jakarta Selatan,85000,4.9,7834,4099,1,"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA",0,anger
computers and laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Kota Jakarta Selatan,85000,4.9,7834,4099,1,BARANG KW JANGAN BELI DISINI,0,anger
computers and laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Kota Jakarta Utara,90000,4.8,4563,1811,1,buruk,0,anger
computers and laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,Kota Jakarta Pusat,82500,4.9,35900,6630,1,barang bosok! sekali Pake rusak.. mau claim dijawab berbelit ama adminnya,0,anger
computers and laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"Chat tidak di balas, Kuota yang di janjikan 50gb nya tidak masuk, hancur la Parah parah",0,anger
computers and laptops,Xiaomi Mi Wifi Wireless Extender Pro Repeater Amplifier R03 Original,Kota Jakarta Barat,129000,4.9,13300,5723,1,GA DIKASIH ADAPTOR GEPENG NYA. KETIPU SAYA,0,anger
computers and laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Kota Jakarta Barat,112000,4.9,14900,7957,1,jir sehari pake udah rusak :( quality control dong yg bener ahelah,0,anger
computers and laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5,6449,2425,1,"Ini gmn, ssd nya gak bisa di pake.... Sy minta ganti...",0,anger
computers and laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Kota Jakarta Timur,1199000,4.9,10900,4760,1,"beli mahal2, malah sering tiba2 ngeblur kalau dipakai zoom. terus menghubungi CS nya, suruh klaim garansi aja, minta alamat ga dikasih2. hadeuhh, webcam 1 jutaan kualitas sampah.",0,anger
computers and laptops,Vention High Speed USB 3.0 Hub for Windows Mac Linux - CHK 0.15 Meter,Kota Jakarta Barat,119500,4.9,10200,5373,1,tidak sesuai gambar.... Janggan percaya ama Seller ini penipu..... kualitas jelek.....,0,anger
computers and laptops,Laptop Stand Holder Lipat Adjustable Anti Slip Portable Untuk Laptop,Kab. Tangerang,69900,4.3,5108,2852,1,"tolong pengiriman punya rasa tanggung jawab, ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah",0,anger
computers and laptops,Rexus GX2 Gladius Pro Gaming Gamepad - Joystick / Stick - Hitam,Kota Jakarta Barat,149000,4.9,2022,1193,1,l2 r2 trigger nya ampas macam ***,0,anger
computers and laptops,"Samsung MicroSD Evo Plus 32GB 64GB 128GB 256GB 512GB 1TB Memory card - 64 gb, MicroSD Only",Kota Jakarta Pusat,121000,4.9,9298,5206,1,jelek,0,anger
computers and laptops,"SPC Monitor Komputer LED 19 inch HD, Garansi Resmi",Kota Jakarta Barat,1509000,4.9,2487,943,1,"Barang SAMPAH ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di TONG SAMPAH. Sangat MENGECEWAKAN, admin TIDAK MERESPON SAMA SEKALI CHAT SAYA. lihat barang yg dikirimkan, ada dead pixel, LALU LAYAR MONITORNYA KEBALIK. SANGAT MENGECEWAKAN. catatan buat teman-teman yg ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. Jika ada rejeki lebih, belilah dengan merek yg bagus. SAYA SANGAT MENYESAL BELANJA DI SINI. SAYA TIDAK MEREKOMENDASIKAN BELANJA DISINI.",0,anger
computers and laptops,Prolink PRT7011L Portable 4G LTE Modem WiFi Mifi Hotspot - Plus PTC21801,Kota Jakarta Utara,1040000,4.9,444,251,1,"TidAk jujur dan kelihatan kalau memaksakan barang terjual. Barang dikirim tidak sesuai pesanan. Dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak, dengan resiko barang yg di foto/ ditawarkan memang sebenarnya mungkin tidak ada.",0,anger
computers and laptops,Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI - Hitam,Kota Jakarta Timur,699000,5,8059,4581,1,"Beli tgl 9. Pesanan Selesai tgl 12 dan....mouse rusak tgl 13 gak bisa komplain dari toped lagi. admin ditanyain gmna cara klaim garansi SANGAT TIDAK MEMBANTU, chat hari ini bales besok.da dibales gk di jawab2 lagi",0,anger
computers and laptops,Digital Aliance Keyboard Gaming Meca Warrior X RGB - Hitam,Kota Jakarta Pusat,499000,4.9,2200,1358,1,"GUA BELI DAPETNYA V2, DI DESC GADA PENJELASAN MENGENAI VERSI, BAGUSAN V1 APALAGI RGBNYA RGB V2 BENER BENER CUMA RED GREEN BLUE SISA WARNANYA GAGUNA SWITCH PULLER GADAPET RGB REDUP PULA NGGA ADA PEMBERITAHUAN MENGENAI VERSI KEYBOARDNYA BENER2 KECEWA KAPOK BELI DA Ambil ae v*rt*x v7 tuh bagus drpd ini kecewa mau gua jual lagi pokoknya",0,anger
computers and laptops,Mouse Gaming/ Gaming Mouse Terlaris HP M160 - USB 1000DPI RGB 3 Button - Putih,Kota Jakarta Pusat,140000,4.9,4074,2249,1,"Belanja dari Official Store, kondisi barang diterima seperti sampah dan barang rongsokan. Terima kasih.",0,anger
computers and laptops,Rexus Mouse Wireless Gaming Avenger 110 - Perak,Kota Jakarta Pusat,89000,4.8,2281,1289,1,Ngaco banget pesen mouse tapi gak lengkap. Gak ada penutup batre sama bluetoothnya,0,anger
computers and laptops,Mouse Gaming HP M150 - 1600DPI USB Wired Macro Programmable - Hitam,Kota Jakarta Utara,89000,4.9,293,124,1,Barang emang harga aslinya sekitar 55 an tapi seller sok sok an bikin diskon yg dari 99rb di diskon 59rb.Olshop emang keras,0,anger
computers and laptops,RAM KINGSTON HYPERX FURY GAMING DDR3 8GB 1600MHz 12800 RAM PC DDR3 8GB,Kota Jakarta Selatan,345000,4.9,8233,2821,1,"salah beli gabisa dituker, pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot. tai",0,anger
